,Year,LifeExpectancy
2891,2014,65.4
2892,2013,65.4
2893,2012,64.7
2894,2011,64.6
2895,2010,64.4
2896,2009,64.1
2897,2008,63.8
2898,2007,63.4
2899,2006,63.0
2900,2005,62.6
2901,2004,62.2
2902,2003,61.9
2903,2002,61.5
2904,2001,61.1
2905,2000,68.0
2906,2015,61.8
2907,2014,61.1
2908,2013,63.0
2909,2012,59.2
2910,2011,58.2
2911,2010,58.0
2912,2009,57.4
2913,2008,55.7
2914,2007,52.6
2915,2006,58.0
2916,2005,49.3
2917,2004,47.9
2918,2003,46.4
2919,2002,45.5
2920,2001,44.6
2921,2000,43.8
2922,2015,67.0
2923,2014,59.2
2924,2013,58.0
2925,2012,56.6
2926,2011,54.9
2927,2010,52.4
2928,2009,50.0
2929,2008,48.2
2930,2007,46.6
2931,2006,45.4
2932,2005,44.6
2933,2004,44.3
2934,2003,44.5
2935,2002,44.8
2936,2001,45.3
2937,2000,46.0
