Country,Year,65-69 years,70-74 years,85+ years,80-84 years,75-79 years,60-64 years,45-49 years,55-59 years,15-19  years,10-14 years,5-9 years,30-34 years,35-39 years,<1 year,50-54 years,20-24 years,40-44 years,1-4 years,25-29 years
Namibia,2010,8980,10494,11626,10168,11134,7598,5398,6266,768.2,545.9,720.9,3226,4210,3464,5754,1277,4928,1367,2075
Somalia,2010,9987,10174,5411,6820,9049,9293,4719,7841,1009,884.1,1943,1973,2588,9384,6325,1430,3589,5955,1625
Kazakhstan,2010,10178,12535,15804,14098,14105,8271,3337,6316,420.5,191.9,186.7,1601,2035,1772,4643,709,2469,228.7,1098
Angola,2010,9623,11226,10633,10193,11412,8107,3664,6255,689.8,765.5,1528,1727,2209,7499,4900,1002,2882,4361,1322
Sao Tome and Principe,2010,10203,13084,17231,14662,14829,7710,2406,5264,420.4,393.5,468.8,859.5,1142,3497,3653,614.2,1655,1206,701
Democratic People's Republic of Korea,2010,10215,12769,20154,14494,14415,7693,2429,5435,445.7,256.4,320.7,732.5,1035,2437,3729,596.7,1583,643.9,616.1
Tajikistan,2010,12956,16789,10220,13894,17749,8475,1996,5494,297.2,109.3,95.65,828.7,1102,3690,3269,436.4,1374,637.8,586.8
Lao People's Democratic Republic,2010,10243,12718,14531,12855,13532,8120,2889,5858,577.1,610.2,672.1,1139,1465,4960,4283,823.1,2109,1666,949
Estonia,2010,7758,10271,32287,15935,13539,6235,1986,4368,234.3,92.3,83.4,761.5,886.3,333.4,2985,370.5,1128,96.37,649.4
Armenia,2010,10285,11816,21507,17250,17014,6564,2108,4696,281.7,93.32,101.4,544.6,808.8,1675,3031,292.8,1362,215.1,355.2
Pakistan,2010,10289,12446,12741,12002,12975,8313,3100,6062,644.3,388.7,513.3,1293,1644,7058,4489,944.1,2303,1704,1090
Vanuatu,2010,11405,12575,10297,11290,12849,9697,4374,7661,648.1,261.6,325.6,1760,2330,2389,5878,1093,3245,525.1,1397
Samoa,2010,10311,12563,18166,13751,14025,8271,3136,6203,462.9,192.4,214.1,1131,1513,1470,4468,762,2175,269.1,917.4
The former Yugoslav Republic of Macedonia,2010,10319,14475,15892,19874,18785,6975,1788,4809,207.9,80.62,70.4,350.9,618.6,948,3159,202.2,1074,119.3,253.5
Uzbekistan,2010,10342,15295,17740,13266,15395,9440,2055,4971,278.4,185.1,193.5,826.2,1084,2721,3278,445.9,1461,414.9,606.8
Cuba,2010,7313,10350,36302,16431,13567,5386,1394,3395,175,108.5,95.27,463.6,544,477.9,2393,260,882.2,124,337.6
Fiji,2010,11730,13852,13143,12463,13424,10350,3276,7480,454.6,274,243.5,922.2,1283,1977,5286,617.3,2115,377.5,732.2
Mexico,2010,7301,10354,34513,14420,12818,5483,1779,3639,428.8,155.7,126.2,851.8,1021,1659,2570,622.5,1260,274.7,723.6
Côte d’Ivoire,2010,9138,10537,9320,8955,10363,7923,5035,6482,889.6,937.4,1365,2318,3311,7657,5724,1063,4269,3180,1531
Japan,2010,4480,6592,53818,15215,10367,3037,879.3,2092,115.7,46.47,42.27,283.9,370.1,218.6,1363,203,569.4,84.03,225.1
Micronesia (Federated States of),2010,11069,12176,8750,10373,12119,9954,4908,8208,630.7,315.6,420.3,1967,2592,3069,6375,1192,3583,785.9,1511
Equatorial Guinea,2010,8147,10390,14478,11505,11653,6498,3690,4983,537.1,713.6,1253,2227,2785,7959,4246,916.5,3253,3223,1542
Kenya,2010,8657,10398,12422,10504,11126,7341,5682,6247,864.4,453.3,620.4,2624,3850,3900,5936,1046,4856,1855,1617
Indonesia,2010,10401,13329,17353,15047,15193,7754,2399,5376,423.3,246.5,396.1,823.3,1108,2974,3677,602.3,1616,609.4,672
India,2010,10439,12304,19528,12763,13686,7051,2524,4907,577.8,372.5,476.9,1128,1494,4459,3365,853.4,1769,1300,1003
Cameroon,2010,8963,10460,9752,9259,10488,7668,4586,6202,758.6,822,1550,2663,3372,6953,5340,1183,4018,4102,1861
Uruguay,2010,7905,10471,33866,16061,13560,5362,1594,3795,390.3,120.5,89.69,576.3,745.6,752.7,2546,542.7,897.9,169.1,556.3
Burkina Faso,2010,9566,11708,11102,10489,11943,7842,3503,5928,764.9,703.7,1356,1433,1951,6893,4688,936.6,2673,5391,1129
Guinea-Bissau,2010,9850,10491,7266,7971,9864,8881,5086,7495,877.2,372.9,1566,2331,3139,7237,6290,1256,4129,4200,1697
Madagascar,2010,10491,12457,12013,11630,12836,8619,3415,6449,640.8,768.9,1168,1404,1832,4632,4844,939.3,2558,2168,1138
Togo,2010,9575,11210,10501,9983,11295,8115,4562,6457,778.8,599.8,1028,2206,3000,5802,5461,1054,3832,3031,1509
Papua New Guinea,2010,10533,12251,12154,11380,12572,8779,3895,6724,632.3,392.8,577.3,1671,2251,4464,5193,963.1,3025,1283,1260
Trinidad and Tobago,2010,8302,10546,26784,15469,14331,6292,2151,3993,502.5,166,126.2,1239,1279,2043,3018,948.8,1521,257.2,1031
Dominican Republic,2010,6489,9881,34443,14792,10550,5616,2119,3505,337.9,172.3,184.8,1044,1297,2828,3041,653.1,1630,606.4,811.1
Argentina,2010,7874,10583,32317,16645,13614,5639,1576,3920,355.7,135.8,100.8,565,726.2,1216,2525,487.4,1032,195.5,493.2
Solomon Islands,2010,11378,12557,8904,10590,12360,9994,4910,8266,661.8,239.2,288.5,1901,2561,2269,6468,1157,3603,422.6,1468
Antigua and Barbuda,2010,7572,10593,30588,18523,14588,5943,1447,3913,277.8,121.8,94.28,535,740,818.7,2231,460.3,940.4,143.9,471
El Salvador,2010,5703,7867,37867,16260,10641,4529,1947,3233,698.1,188.5,121.5,1478,1429,1550,2574,1001,1480,282.4,1151
Türkiye,2010,7757,10681,34832,16385,15287,4850,1136,2976,174.1,173.6,230,261.5,400.4,1550,1975,192.7,656.2,260.4,222.8
United Republic of Tanzania,2010,8489,10686,13908,11064,11676,6904,4654,5511,740.2,354.5,872.1,2548,3488,4805,4988,1021,4113,2495,1683
Albania,2010,8183,10693,31867,16546,15714,5064,1387,2702,370.5,135.5,142.4,809.1,873,1200,1849,564.3,1081,147.9,671.1
Switzerland,2010,4605,6775,51938,16635,10753,3131,793.8,2085,137.9,41.5,33.17,214.6,294.8,388.1,1285,148.3,504.1,49.92,186.8
Egypt,2010,10759,13047,19495,13872,13539,8297,2438,7040,356.6,241.2,269.5,552.1,737.9,2499,4233,434.7,1242,477.9,468.7
Guyana,2010,11524,10766,11378,10897,15646,8645,3997,7099,651.5,258.2,203.9,1925,2408,3214,5234,1146,2963,738.7,1305
Sierra Leone,2010,9256,10948,9356,9391,10834,7748,3498,5920,727.9,848.4,1789,1681,2147,10767,4695,1011,2774,5279,1330
Jamaica,2010,7422,10781,34676,14599,13047,5275,1786,3763,203.8,172.4,150.5,683.4,940.5,1614,2463,352.6,1316,280.8,472.9
Kiribati,2010,11170,11218,4880,7299,9905,10784,6179,9479,924.2,423.2,641.9,2392,3249,4141,7750,1540,4562,1577,1886
Tunisia,2010,7365,10790,31242,19498,15035,4745,1228,3055,236.2,165.6,176.3,512.6,604.6,1609,1870,348.3,847.1,267.2,406.5
Seychelles,2010,8344,10804,24508,16461,15903,6669,2382,4609,293.2,140.2,141.4,822,1183,1222,3522,445.8,1654,222.6,674.8
Afghanistan,2010,10812,11983,9223,9847,11754,9293,4016,7289,844.3,374.2,523.8,1738,2196,6445,5556,1276,2992,2371,1466
Australia,2010,4542,7186,51311,16430,10833,2879,910.6,1942,176.3,49.92,51.59,325.1,442.4,423.5,1333,223.1,613.2,77.83,250.2
Croatia,2010,8419,10873,30019,18633,15757,5215,1517,3974,173.6,59.89,60.29,325.2,499.3,385.8,2579,270.6,874.2,82.88,282.6
Bangladesh,2010,9206,10904,23031,17377,13450,6514,1816,4507,434.5,371.8,491.3,553.7,741.8,3941,3504,438.3,1166,1008,545.8
Mongolia,2010,13875,12152,11153,11240,10946,9805,4410,8171,431.6,276.7,288.3,1435,2043,2423,6191,708.3,2950,515,987.4
Gabon,2010,9759,11402,12388,10976,11932,8264,4298,6524,620.8,762.3,675.9,2109,2783,4188,5309,990.5,3497,2051,1469
Latvia,2010,8952,10977,25552,14910,13293,7516,2839,5610,275,106.1,116.5,774.4,1308,646.3,4016,444.8,1960,125.7,577.8
Bahrain,2010,9326,15653,15578,22755,22134,5061,1016,3345,278,100.2,121.1,344.1,401,740.1,1729,351.4,630.2,122.2,314.7
Ecuador,2010,6170,9193,35336,16504,12970,4797,1674,3147,558.6,223.6,188.9,1016,1001,1565,2287,853.6,1301,263.7,953.9
Malawi,2010,8365,9621,9672,8542,9738,7365,6002,6403,910.5,533.9,1001,3499,4677,5242,6098,1404,5445,3214,2267
Sri Lanka,2010,7828,13234,27598,14893,14462,5184,2034,3896,754.9,187.5,172.1,998.6,1129,1008,2729,1273,1327,163.2,1130
United Arab Emirates,2010,9225,12158,27214,16561,15087,6425,1736,4222,264.8,106,101,587.8,748.7,664.4,2722,443.6,1111,114.8,509
Benin,2010,9587,11960,12872,11457,12565,7612,3021,5632,615.3,747.2,1451,1281,1682,7116,4242,815.4,2284,4049,1010
Saudi Arabia,2010,9927,12491,21476,14703,14527,7668,2660,5659,364.8,126.4,129.8,889.5,1193,1010,3964,586.3,1755,166.8,705.6
Bolivia (Plurinational State of),2010,9285,12717,20937,15916,15257,6739,2028,4467,386.4,223.3,303,797.6,1011,3355,3075,556.6,1429,861.5,654.4
Ghana,2010,9960,11858,11824,11141,12218,8345,4043,6438,723.6,528.4,765.3,1877,2493,4739,5178,1018,3267,2228,1357
Lebanon,2010,8601,11975,28303,17987,15556,5809,1516,3608,271.9,117.9,116.6,419.9,578.1,1018,2372,345.5,902,148.2,352.5
Timor-Leste,2010,9245,12498,19465,15334,14838,6754,2028,4489,379.3,409.1,615.6,775.7,996.5,5463,3089,547.4,1417,1019,637.2
Comoros,2010,9541,12386,16672,13467,13662,7350,2463,5089,507.5,284.6,693.4,1022,1300,6247,3673,713.5,1815,2259,855
Liberia,2010,9399,11583,12838,11497,12206,7601,3464,5665,612.5,807.5,1022,1668,2183,7222,4490,908.8,2827,2760,1247
Honduras,2010,8986,11883,23700,14783,13958,6879,2436,4854,423.9,252,238.4,1026,1329,1969,3427,780.9,1835,357.3,880.5
Spain,2010,4694,7180,49983,16616,11133,3285,1026,2360,113.2,53.19,42.88,225.9,345.7,306.1,1621,157.3,615.1,72.34,170.8
United States of America,2010,6294,8548,42369,15167,11931,4439,1561,3210,245.4,71.09,56.77,545.4,684.5,582.7,2309,428.3,969.9,103.9,483.8
New Zealand,2010,5088,7574,48251,16749,11314,3223,1034,2210,264.5,77.32,31.28,321,472.7,560.7,1462,312.1,679.6,105.9,270
Saint Vincent and the Grenadines,2010,7588,9473,25536,18240,15876,5424,2452,4149,367.6,253.5,178.4,1036,1315,1508,3190,599.5,1782,219.3,812.1
Republic of Moldova,2010,11530,13478,14414,12682,14541,9128,3766,7011,288.3,147.9,138.5,1039,1669,1407,5103,428.7,2378,242.9,608.1
Senegal,2010,9580,12396,16557,13420,13665,7378,2697,5184,529.6,679.7,1039,1171,1515,4234,3834,745.3,2056,2391,929
Netherlands,2010,5677,8223,45019,17596,12856,3671,901.6,2467,104,48.88,38.22,233.6,332.2,376,1551,151.1,523.8,73.48,157.2
Haiti,2010,3787,3294,1040,1597,2427,4350,4883,4401,7116,5846,6797,5762,5381,8467,4740,6730,5132,11895,6356
Serbia,2010,9806,12994,21290,18065,17309,6734,1896,4966,180.9,74.76,63.83,420.2,620,664.5,3155,260.9,1041,119,339.3
Venezuela (Bolivarian Republic of),2010,6266,9241,34109,16640,12722,4876,1645,3603,826.8,189.7,150.3,1066,1042,1476,2406,1173,1177,240.5,1153
Bahamas,2010,7886,9600,30003,14153,12822,5827,2650,4425,477.8,162.6,161.1,1293,1747,1137,3396,967.9,2067,180,1044
United Kingdom of Great Britain and Northern Ireland,2010,5649,8502,44507,17058,12473,3761,1049,2553,147.1,51.6,47.49,356.1,503.6,439,1649,207.6,726.8,73.54,245.8
Ethiopia,2010,9265,11851,14841,12329,12893,7248,3306,5319,662.2,735.5,1122,1463,1999,5518,4208,793.7,2640,2755,1052
Botswana,2010,8792,9485,8305,8088,9458,8087,6678,7215,987.2,282.6,496,4665,5682,2483,6864,1907,6360,1053,3112
Zambia,2010,8924,9803,8701,8282,9562,8061,5820,6967,1053,464.5,953.5,3429,4385,5371,6334,1625,5134,2743,2389
Peru,2010,5932,8794,41512,15223,11553,4236,1462,2904,343.9,187.8,197.6,668.7,839.9,1460,2094,497.4,1059,450.6,586.3
Mauritius,2010,9169,11631,25986,15550,13886,6764,2358,4808,259.1,111.6,106,714.7,1095,1296,3512,399.3,1585,216.5,552.2
Thailand,2010,6285,8608,39259,14444,11748,4389,1933,3308,492,260.9,234.3,1061,1304,1126,2421,594.8,1556,189.2,785.3
Democratic Republic of the Congo,2010,9875,11331,9412,9619,11141,8419,4029,6613,784,930.7,1412,1752,2344,8393,5304,1062,3167,3076,1336
Austria,2010,5661,7499,45775,17234,11672,4200,1063,2632,181.4,46.17,41.31,276.7,400.6,398.3,1741,290,578.9,76.49,231.9
Lithuania,2010,8417,9705,27898,14877,12198,7204,2966,5806,325.4,94.75,78,1063,1479,488,3992,548.3,2075,123.5,663.2
China,2010,7941,12132,26000,20113,16291,5454,1580,3306,226.7,120.9,132.3,523,691.6,1337,2149,330.6,1071,222.7,376.3
Mali,2010,9114,11579,12840,11337,12299,7178,2984,5223,605.8,799.9,1503,1393,1814,7719,4002,804.1,2320,5409,1076
Brunei Darussalam,2010,9676,12988,23945,17420,18143,5514,1621,3668,225.6,132.3,146.1,534.9,662.8,871.2,2423,388.1,1077,187.3,377.4
Mozambique,2010,8365,9117,7486,7297,8712,7678,5657,6778,1146,794.3,1077,4109,4736,7382,6216,1962,5191,3237,3058
Slovakia,2010,8381,11287,27309,18280,15401,6413,1832,4306,164.8,93.65,82.36,386.7,658.7,564.9,3079,281.7,1077,114.5,286.5
Kuwait,2010,6128,9148,44029,16306,12219,4015,977.3,2590,182.3,115.8,108.4,301.8,363.1,813.7,1530,234.3,541.5,148.8,246.8
Qatar,2010,9798,19669,13302,22463,21030,5019,849.5,2703,425.7,114.3,109.1,356.7,384.3,785.2,1540,432.9,551.2,117.8,349.3
Greece,2010,5210,7589,44363,18783,11906,3764,1090,2688,197.2,54.1,53.11,378.5,447.3,381.7,1728,285.4,684.8,70.52,325.6
Rwanda,2010,9373,12038,15416,12688,13285,7373,3315,5453,584.6,751.4,984.2,1505,2015,4354,4301,820.5,2629,2025,1090
Germany,2010,5801,8113,43940,17451,12496,4080,1093,2826,133.8,45.9,43.56,264,388.4,344.8,1879,184.4,625.7,70.29,220.4
Cabo Verde,2010,6266,9452,34576,15200,12314,4061,2468,3736,352.4,153.9,143.7,1094,1567,2277,2765,519.5,1822,431.3,801
Belize,2010,6918,9693,32456,14185,12016,5540,2428,4526,533.6,188.2,165.2,1274,1443,1650,3173,838.2,1617,261.1,1095
Costa Rica,2010,5224,7736,46000,15786,11756,3426,1095,2609,292.5,115.4,94.28,590.5,707.4,916.3,1707,439.1,863.8,168.4,473.9
Maldives,2010,8581,13674,30671,18993,15171,4719,825.6,2544,186.7,160.8,152.3,242.2,244.2,1097,1659,219.3,479,196.1,184.4
Tonga,2010,9748,12121,24258,14390,13693,7138,2545,5424,327.6,142.5,228.7,760,1098,1435,3693,475.7,1726,250.2,546.7
Nepal,2010,9677,12934,19234,15093,14957,7129,2214,4844,418.6,264.7,416,843.9,1099,3679,3390,589.9,1566,960,690.7
Burundi,2010,9694,11131,9696,9676,11067,8379,4699,6798,907.3,886.1,1341,1910,2762,5920,5742,1101,3750,3173,1369
Hungary,2010,8586,11079,27085,16088,13733,7189,2583,5752,165.8,73.53,57.62,370.7,664,486.7,4251,195.2,1278,91.88,269.5
Chad,2010,9539,11263,9388,9526,11092,7971,3494,6046,737.7,983.2,1693,1577,2054,8579,4744,980.2,2726,6364,1243
Niger,2010,9372,11774,12239,11171,12370,7454,2911,5453,597.6,1469,1909,1237,1631,6327,4072,774.9,2166,6089,982.2
Suriname,2010,8672,11181,25927,14179,13903,5952,2443,4824,459.9,190.5,156.4,1174,1311,2083,3653,796.6,1864,258.2,973.4
Eritrea,2010,11188,11920,7980,9031,11249,9952,5159,8190,844.6,478.6,519.9,1999,2801,3829,6667,1190,3902,1607,1493
Oman,2010,14820,16815,14454,11256,16491,8926,2005,5658,490.2,127.1,129,717.7,861.9,995.8,3414,693.6,1287,171.8,687.1
Azerbaijan,2010,11259,15366,12956,15312,17464,8239,2085,5603,300.9,159,200.1,677.9,883.1,3333,3481,385.6,1312,497.7,484.7
Russian Federation,2010,9479,11289,18000,13500,13364,8084,3699,6399,429.9,160.9,141.7,2068,2379,928.4,4832,827.6,2858,147.3,1414
Canada,2010,5194,7728,49509,15279,11294,3490,950,2324,193.3,53.88,40.71,306.5,407,479,1548,253.8,607.7,79.6,262.3
Nigeria,2010,8722,11328,13902,11601,12441,6746,2954,4886,522.2,784.6,1407,1347,1836,8580,3795,696.3,2346,5134,973.7
Djibouti,2010,9154,11361,13826,11717,12335,7346,3839,5537,552.6,573.3,974,1881,2578,6888,4573,828.3,3252,1511,1275
Italy,2010,4799,7216,50131,17071,11409,3142,819.5,2026,138.6,52.02,40.29,242.9,321.4,332.3,1311,185.4,503.8,60.11,198.9
Guatemala,2010,7772,9655,25286,15185,11427,6473,2930,4659,764.6,228.4,207.9,1593,1809,2963,3783,1139,2198,608.2,1320
Romania,2010,8903,11523,24740,17023,14873,6666,2386,5159,240.3,128.9,120,489.9,809.5,955,3782,318.7,1358,183.6,342.5
Gambia,2010,9935,11882,12636,11535,12448,8132,3797,6158,584.4,548,793.5,1750,2370,4567,4880,897.3,3073,2772,1243
South Africa,2010,7299,7876,11535,9115,7891,6731,6072,6095,859.8,456.6,575.4,5774,6474,3170,5944,2018,6287,1866,3961
South Sudan,2010,9076,11602,14053,11707,12599,7103,3246,5223,584,717.3,1362,1603,2113,6640,4115,830.7,2634,3629,1163
Turkmenistan,2010,11998,12490,17178,11637,13295,8757,2831,5669,485.8,210.3,222.4,1176,1561,4145,4186,754.4,1884,604.5,915.6
Syrian Arab Republic,2010,8403,11761,25793,20167,14967,6361,1395,3692,314.5,184.9,224.3,419.2,564.3,1448,2500,337.8,829.6,274.2,363.8
Bulgaria,2010,8962,11802,23367,17969,15611,6795,2207,4990,245.9,144,112.4,497.1,756.3,950.9,3356,324.4,1344,176.9,389.2
Philippines,2010,9541,11804,20482,16142,14160,7262,2494,5112,392.1,223.4,235.6,950.6,1281,2514,3580,610.8,1730,722.7,763.1
Mauritania,2010,8716,11808,19495,14262,13716,6491,2097,4375,429.6,252.3,601.1,899.6,1132,6240,3111,618.7,1542,3460,752.3
Panama,2010,5545,8033,42730,15571,11838,4078,1221,2464,474,183.9,171.9,780.3,812.1,1687,1813,658.6,930.8,292,715.5
Finland,2010,5580,7870,44530,16855,11887,4155,1233,2929,168.9,40.08,51.96,398.6,498.1,226.5,1980,371.8,779.7,63.61,381.1
Iraq,2010,9448,11907,23084,14122,13665,7087,2468,4788,495.8,303.4,319.2,952.9,1161,2944,3513,810.1,1482,618.7,831.2
Israel,2010,5162,7695,48120,17410,11945,3198,797.1,2025,126.4,63.72,53.21,275.1,337.1,378.8,1360,204.6,533.1,80.65,234.6
Belgium,2010,5865,7985,43921,17367,11968,4240,1153,2823,145.3,56.72,42.71,337.8,477.4,365.4,1891,269.6,692,83.51,318.2
Saint Lucia,2010,6647,8606,37886,14168,11985,4731,2174,3819,358.5,144.1,167.4,972.9,999.2,1733,2393,657.4,1440,244.5,873.7
Malaysia,2010,9339,13506,26174,14874,15719,6216,1914,4370,326.2,145.4,120.2,636.7,885.7,701,2905,408.5,1188,110.8,460.4
Iceland,2010,4889,7855,48520,17547,12459,3065,763.3,1725,136.4,60.28,45.83,304,345.9,171.7,1114,199.1,509.4,80.78,208
Libya,2010,7643,9978,36098,14633,13134,5489,1637,3154,350.3,179.5,179.4,688.7,838.4,1369,2180,515.5,1133,236.9,562.1
Grenada,2010,9644,16177,17361,15611,18838,6185,2158,4244,365.3,179.3,188.9,759.5,1157,1182,2953,446.8,1753,221,576.6
Denmark,2010,6306,9607,39379,17721,13901,4411,1164,3147,117,33.39,30.35,237.6,380.1,340.5,2099,192.9,684,50.15,198.3
Georgia,2010,9172,12985,19726,16509,16088,7113,2636,5156,290.9,126.3,122.1,798.6,1221,1191,3785,494,1787,158.8,639.3
Luxembourg,2010,5501,7993,46128,17571,12086,3664,959.7,2470,121.5,30.14,27.13,227.5,360.6,244.8,1682,204.9,479,50.97,200.4
Viet Nam,2010,8894,12103,24184,16712,15100,6347,2075,4496,381.1,183.4,177.7,654.5,907.9,1788,3112,520.2,1353,465.1,545.6
Nicaragua,2010,8305,12202,25588,18603,16212,5580,1529,3647,303.9,242.5,185.2,471.8,645,2004,2409,361.1,955.6,366.9,389.4
Colombia,2010,5738,8814,40489,16299,12236,3813,1224,2467,519.3,151,124.8,853.5,848.8,1639,1841,815,981.4,259.4,886.5
Singapore,2010,5467,8319,47368,16847,12255,3444,827.3,2175,86.83,53,41.51,169.2,322.9,287.6,1461,164.2,495.2,63.97,152.6
Sudan,2010,9127,12275,18779,14309,14227,6767,2244,4601,459.7,328.6,706.6,963.6,1229,5107,3272,653.1,1655,2509,789.3
Republic of Korea,2010,5538,8435,45004,17466,12276,3219,1227,2324,146.6,57.29,61.27,354,496.4,329.4,1699,225.9,767.6,60.99,313.1
Sweden,2010,5106,7813,47614,17551,12320,3448,772,2092,134.8,44.65,31.41,249.5,280.8,257.3,1299,227.5,450,59.87,246.8
Portugal,2010,5261,8151,43164,18441,12332,3626,1362,2667,139.9,64.33,62.9,386.3,582.3,259.5,1970,252.3,939.5,68.88,270.1
Norway,2010,5414,7918,46233,17665,12359,3565,853.3,2246,155.6,50.11,47.74,287.4,333,253.6,1443,286.7,526.3,51.61,311.5
Montenegro,2010,8859,12602,23490,18672,16370,6709,1811,4772,161.6,64.39,71.91,476.8,675.3,561.6,3026,268.9,994.6,78.89,335.1
Bhutan,2010,8951,12664,22158,16460,15757,6299,1764,4072,332.8,461.7,457.1,668.8,867.1,3356,2701,447.2,1209,828.2,545.4
Bosnia and Herzegovina,2010,8702,12688,26184,19521,16759,5555,1410,3788,152,70.02,60.17,297.7,473.1,531.5,2430,223.6,810.5,96.34,247.8
Chile,2010,6702,9276,41081,15825,12732,4480,1356,2626,254.3,91.94,75.65,441,609.6,726.2,1911,374.2,902.3,128.4,408.6
Cyprus,2010,4799,7730,45692,19676,12740,3008,792,1920,142.2,65.01,81.28,320.8,346.5,287.7,1279,251.4,535.4,59.55,275.6
Yemen,2010,9796,12769,17879,14437,14478,7401,2373,5082,474.9,266.6,433.7,953,1221,4420,3602,678.4,1710,1232,792.8
Slovenia,2010,5921,8838,41415,17464,12900,4356,1228,3309,125.5,54.39,47.44,345.7,418.3,237.2,2087,224,772.8,58.84,198.3
Kyrgyzstan,2010,9687,12928,17136,14655,15225,7769,2718,5782,324.5,165.7,154.1,1319,1700,2587,4018,532.4,2141,354.4,805.1
Zimbabwe,2010,7621,7724,5111,5765,7205,7443,8035,7193,1211,658.1,750.3,5208,6851,5403,7447,1872,7759,3464,3280
Morocco,2010,9734,13063,22839,14508,16008,6493,1946,4335,339.7,124,219.2,764.8,978.5,2797,2960,497.9,1328,450.8,615.6
Malta,2010,5313,8280,43591,18987,13574,3521,772.5,2067,124.8,70.25,39.69,292.9,350.5,628.6,1325,191,519.1,89.89,264
Iran (Islamic Republic of),2010,6582,9960,33640,18406,14542,4433,1243,2985,487.8,265.9,268.6,619.9,667.8,1679,1945,549.5,863.1,284.5,578.9
Algeria,2010,6028,9244,35050,19526,13870,4314,1257,2692,283,192.9,223.7,496.4,663.7,2191,1876,384,890.3,394.5,421.8
Ireland,2010,5427,8299,42505,19769,13572,3312,964.6,2170,181.6,48.93,43.58,307.2,386,370.1,1462,245.8,613.3,64.59,258.8
Eswatini,2010,6252,5906,3404,4068,5244,6531,8579,7003,1360,362.3,978.1,7753,8643,5282,7755,3229,8677,3199,5773
Lesotho,2010,6763,6234,2995,3887,5263,7163,8826,7374,1373,391.7,561.8,6730,8245,7678,7992,2636,8669,2639,4581
Sao Tome and Principe,2005,10010,12680,15948,13734,13973,7759,2652,5460,510.3,491.1,662.9,1062,1363,4255,3926,754.7,1931,1947,881
Cambodia,2005,10027,12222,13416,12165,12968,8051,3417,5912,599.4,352.3,776.4,1792,2177,5329,4575,895,2814,1238,1274
Mexico,2005,7777,10035,34696,14671,12066,5544,1821,3957,352.4,159.1,134.8,716,906.6,1895,2578,494,1259,344.9,592.9
Solomon Islands,2005,11542,12431,8087,10076,12074,10235,5084,8484,701.8,256,316.5,1979,2663,2432,6660,1207,3751,488.8,1532
Republic of Moldova,2005,11851,14025,11270,12995,13856,10081,4018,7027,278,166.5,170.8,1086,1705,1700,5646,443.8,2757,303.5,620.6
Mauritius,2005,10089,12614,22320,14717,14587,7859,2512,5266,262.1,124.8,111.7,691.5,1123,1357,3622,393.7,1634,227.6,487.9
Sierra Leone,2005,8924,10426,7981,8436,10107,7565,3522,5877,754.5,919,2180,1734,2192,12484,4695,1046,2794,6978,1386
Mongolia,2005,12240,12229,7562,10119,12489,10476,4757,8492,451.3,224.9,252,1633,2230,3689,6950,766.7,3400,889.4,1149
Fiji,2005,12086,13447,11742,13202,13545,10122,3635,7422,530.6,309.4,304.9,869.6,1423,1933,5564,701,1977,377.3,809.1
Chad,2005,9106,10508,7913,8418,10132,7809,3956,6162,790.5,988.8,1908,1985,2577,9431,5036,1106,3251,7410,1514
Congo,2005,9362,10133,7837,8185,9823,8380,5865,7201,982.4,509.2,855.1,3045,4131,5786,6481,1301,5115,2964,2043
Indonesia,2005,10145,13004,17075,14614,14694,7712,2522,5360,469.8,286,467.8,953.2,1239,3616,3782,687,1773,817.3,784.4
Lithuania,2005,8339,10155,24253,14441,12128,7486,3470,6138,419.8,119.5,160.2,1282,1757,713.5,4840,727.5,2379,174,1017
Lesotho,2005,5047,4477,2095,2691,3710,5730,9054,6541,1339,430.1,607.5,9232,10181,7650,7604,3265,9771,3956,6619
Eritrea,2005,10830,11139,6691,7908,10203,9887,5688,8402,908.9,579.8,734,2468,3386,4342,6982,1348,4509,2186,1808
Slovenia,2005,7043,10203,35442,17278,14157,5091,1602,3389,180.9,65.33,60.41,420.1,511.2,364.8,2424,353.1,942.1,74.74,399.6
Dominican Republic,2005,6649,10237,32851,14200,10757,5576,2302,3555,355.9,190.2,221.9,1268,1527,3009,3116,676.2,1895,668,946.7
Micronesia (Federated States of),2005,11051,12174,8545,10237,11978,9681,4813,8063,648.7,346.6,480.7,1916,2540,3850,6365,1180,3595,1013,1523
Angola,2005,9257,10641,7963,8592,10243,8062,3794,6409,746.6,903.3,2043,1792,2265,10253,5139,1066,2980,6451,1401
Barbados,2005,7394,10261,31421,17151,14027,5591,1820,3491,365.1,146.2,86.42,730.3,926.1,1427,2605,506.5,1254,136,662.4
Zimbabwe,2005,5319,5185,3647,3829,4788,5589,8824,6099,1116,622.9,828.3,8800,10262,5421,7250,2562,9815,4021,6021
Saudi Arabia,2005,10263,12862,20356,14472,14652,7861,2618,5717,400.3,151.7,165.6,837.8,1127,1382,3936,585.8,1696,231.3,684.3
Democratic People's Republic of Korea,2005,10266,12655,19066,14673,14474,7853,2514,5533,460.9,275.9,354.7,799.4,1119,2506,3834,628.6,1670,654.2,662.6
Serbia,2005,10268,14342,17554,17349,17587,7484,2131,5175,211.4,84.46,87.57,523.9,704.4,769.9,3592,350.5,1295,114.6,377
Belarus,2005,10274,11898,16494,12951,13051,9520,3863,7031,338.1,114.5,131.4,1570,2033,638.9,5332,688.8,2774,219.6,1078
